iter	Logloss
0	0.6892778273
1	0.6864789123
2	0.6823450988
3	0.6789923748
4	0.6763926931
5	0.6727207041
6	0.6698124596
7	0.6663995528
8	0.6634877254
9	0.6608282528
10	0.6576953402
11	0.6549325355
12	0.6522657665
13	0.6499237669
14	0.6469158027
15	0.6444148961
16	0.6423006516
17	0.640186907
18	0.6382624509
19	0.6362194135
20	0.6343080488
21	0.6324404771
22	0.6300027161
23	0.628230166
24	0.6257347914
25	0.6239527981
26	0.6219495043
27	0.6203551508
28	0.618243518
29	0.6164601107
30	0.6150370722
31	0.6133984213
32	0.6115311528
33	0.6097374366
34	0.6080821388
35	0.6066496197
36	0.6049261287
37	0.6036309371
38	0.6018649984
39	0.6002609331
40	0.5988675516
41	0.5974527457
42	0.5960762669
43	0.5942515266
44	0.5932178964
45	0.5916583381
46	0.5905965595
47	0.5894448296
48	0.5880061242
49	0.5866693758
50	0.5856076731
51	0.5845082289
52	0.583722982
53	0.5821960725
54	0.581264864
55	0.5800742581
56	0.5790374059
57	0.5775617813
58	0.5763822641
59	0.5754652154
60	0.5745857868
61	0.5737287599
62	0.5728625583
63	0.5715846942
64	0.5705892997
65	0.5695845293
66	0.5686875336
67	0.5679284859
68	0.5674865788
69	0.5668012121
70	0.5658029093
71	0.5649591003
72	0.564088434
73	0.5635390601
74	0.5630279804
75	0.5623595383
76	0.5616642016
77	0.5609664524
78	0.5604372863
79	0.5597363704
80	0.5593404456
81	0.5586293875
82	0.5579092969
83	0.5576189214
84	0.557049003
85	0.5564616296
86	0.5560727963
87	0.5553879019
88	0.5546584786
89	0.5541991105
90	0.5535847163
91	0.5528209385
92	0.5520802271
93	0.5513514192
94	0.5506711212
95	0.5500293442
96	0.5495621277
97	0.5490730113
98	0.5485585062
99	0.54794891
100	0.5473736691
101	0.5470252628
102	0.5466368126
103	0.5462537622
104	0.5456838027
105	0.5451237117
106	0.5446938446
107	0.5444058681
108	0.5438100694
109	0.5433409382
110	0.5429296048
111	0.5426659119
112	0.5422283324
113	0.5420250876
114	0.5414549507
115	0.5410416039
116	0.5406189134
117	0.5402127078
118	0.5398581289
119	0.5394695533
120	0.5390214103
121	0.5388511096
122	0.5385648361
123	0.5381567699
124	0.5376634904
125	0.5372889932
126	0.5368856983
127	0.5366858717
128	0.5362708219
129	0.5359560678
130	0.5357049833
131	0.5353400399
132	0.5350799283
133	0.5346754449
134	0.5343718367
135	0.5341947874
136	0.5338772827
137	0.5334604136
138	0.5332027764
139	0.5328943278
140	0.5327022493
