iter	Passed	Remaining
0	51	43059
1	95	40091
2	143	39964
3	190	39817
4	230	38470
5	283	39458
6	363	43329
7	433	45154
8	498	46086
9	595	49470
10	657	49622
11	720	49789
12	782	49824
13	856	50588
14	907	49990
15	958	49436
16	1002	48572
17	1042	47667
18	1094	47351
19	1138	46745
20	1185	46299
21	1232	45879
22	1278	45454
23	1319	44910
24	1371	44751
25	1414	44344
26	1455	43876
27	1503	43649
28	1544	43250
29	1584	42838
30	1632	42666
31	1694	42845
32	1750	42863
33	1801	42755
34	1859	42832
35	1938	43352
36	2008	43645
37	2088	44122
38	2139	44001
39	2194	43937
40	2259	44084
41	2366	45022
42	2447	45428
43	2545	46101
44	2635	46614
45	2715	46931
46	2772	46831
47	2841	46941
48	2916	47134
49	2994	47368
50	3069	47548
51	3143	47692
52	3215	47801
53	3279	47801
54	3377	48263
55	3437	48190
56	3492	48037
57	3579	48323
58	3691	48927
59	3810	49597
60	3915	50072
61	4013	50433
62	4107	50725
63	4196	50950
64	4276	51058
65	4326	50806
66	4394	50766
67	4440	50476
68	4492	50258
69	4555	50180
70	4607	49973
71	4658	49758
72	4719	49653
73	4762	49358
74	4808	49107
75	4856	48880
76	4915	48768
77	4966	48586
78	5023	48450
79	5062	48160
80	5117	48017
81	5162	47785
82	5218	47654
83	5271	47503
84	5337	47469
85	5393	47347
86	5457	47302
87	5518	47219
88	5575	47109
89	5643	47091
90	5710	47068
91	5768	46962
92	5838	46958
93	5906	46940
94	5977	46939
95	6062	47044
96	6121	46948
97	6171	46791
98	6211	46558
99	6267	46445
100	6316	46282
101	6383	46248
102	6466	46333
103	6529	46273
104	6589	46189
105	6640	46047
106	6684	45855
107	6736	45724
108	6785	45568
109	6831	45396
110	6885	45282
111	6941	45179
112	7005	45133
113	7095	45251
114	7176	45303
115	7247	45298
116	7315	45267
117	7406	45377
118	7488	45432
119	7579	45541
120	7660	45583
121	7720	45497
122	7813	45609
123	7888	45614
124	7959	45593
125	8030	45568
126	8119	45649
127	8198	45670
128	8288	45744
129	8380	45834
130	8501	46075
131	8633	46372
132	8777	46725
133	8918	47057
134	9046	47311
135	9173	47555
136	9313	47857
137	9404	47910
138	9520	48080
139	9605	48094
140	9712	48220
141	9802	48255
142	9901	48331
143	9984	48328
144	10113	48543
145	10213	48617
146	10291	48588
147	10390	48653
148	10461	48588
149	10535	48532
150	10614	48504
151	10708	48541
152	10777	48461
153	10852	48412
154	10948	48455
155	11063	48582
156	11165	48644
157	11254	48649
158	11343	48657
159	11437	48681
160	11556	48808
161	11640	48790
162	11694	48641
163	11751	48509
164	11810	48385
165	11871	48271
166	11908	48061
167	11957	47899
168	12019	47792
169	12076	47664
170	12124	47506
171	12167	47325
172	12225	47205
173	12280	47076
174	12332	46934
175	12390	46815
176	12440	46667
177	12492	46529
178	12557	46441
179	12629	46377
180	12688	46266
181	12740	46132
182	12800	46024
183	12866	45943
184	12940	45888
185	13001	45784
186	13068	45704
187	13126	45595
188	13174	45448
189	13232	45338
190	13306	45282
191	13366	45182
192	13417	45051
193	13477	44948
194	13528	44817
195	13576	44678
196	13626	44546
197	13669	44392
198	13710	44233
199	13760	44101
200	13808	43967
201	13856	43833
202	13908	43713
203	13956	43580
204	14021	43502
205	14071	43375
206	14140	43309
207	14216	43263
208	14330	43333
209	14401	43272
210	14496	43284
211	14580	43259
212	14651	43197
213	14707	43090
214	14764	42989
215	14833	42922
216	14907	42867
217	14988	42834
218	15037	42709
219	15098	42618
220	15171	42561
221	15227	42459
222	15286	42362
223	15339	42250
224	15392	42140
225	15452	42050
226	15516	41969
227	15581	41892
228	15629	41770
229	15700	41709
230	15749	41589
231	15828	41549
232	15932	41573
233	16029	41580
234	16122	41575
235	16253	41666
236	16352	41675
237	16435	41641
238	16513	41595
239	16607	41588
240	16704	41587
241	16803	41591
242	16878	41535
243	16935	41437
244	16997	41349
245	17054	41250
246	17107	41141
247	17193	41111
248	17285	41096
249	17373	41071
250	17472	41069
251	17549	41018
252	17606	40920
253	17669	40834
254	17768	40833
255	17880	40859
256	17932	40750
257	18010	40698
258	18077	40622
259	18162	40585
260	18246	40548
261	18314	40473
262	18408	40455
263	18495	40423
264	18561	40344
265	18640	40294
266	18709	40221
267	18761	40113
268	18810	39998
269	18873	39913
270	18931	39818
271	18992	39729
272	19054	39644
273	19126	39578
274	19194	39506
275	19244	39395
276	19318	39334
277	19380	39249
278	19431	39140
279	19473	39017
280	19527	38915
281	19596	38845
282	19672	38788
283	19737	38710
284	19821	38668
285	19917	38651
286	20027	38658
287	20126	38646
288	20223	38626
289	20331	38629
290	20393	38544
291	20497	38538
292	20590	38510
293	20663	38444
294	20709	38330
295	20774	38249
296	20839	38170
297	20902	38088
298	20968	38009
299	21033	37931
300	21107	37867
301	21161	37769
302	21212	37665
303	21284	37597
304	21336	37497
305	21403	37421
306	21482	37366
307	21564	37318
308	21648	37272
309	21730	37222
310	21813	37173
311	21909	37147
312	21973	37066
